title,authors,publishedDate,categories,description,averageRating,textSnippet
Fairy Tale,['Stephen King'],2023-06-06,['Fiction'],Paperback edition includes reading group guide.,N/A,N/A
The Elephant in the Room,['Eviatar Zerubavel'],2006,['Philosophy'],"In The Elephant in the Room, Eviatar Zerubavel sheds new light on the social and political underpinnings of silence and denial--the keeping of ""open secrets."" Zerubavel shows how conspiracies of silence evolve, illuminating the social pressures that cause people to deny what is right before their eyes. Drawing on examples from newspapers and comedy shows to novels, children's stories, and film, the book travels back and forth across different levels of social life, and from everyday moments to large-scale historical events.",N/A,N/A
The Devil and the Dark Water,['Stuart Turton'],2020,['Fiction'],"'If you read one book this year, make sure it's this one' Daily MailCHOSEN AS A BOOK OF THE YEAR BY THE GUARDIAN, SUNDAY TIMES, DAILY MAIL, FINANCIAL TIMES, DAILY EXPRESS AND i PAPERWINNER OF THE BOOKS ARE MY BAG READERS AWARD FOR FICTION SELECTED FOR THE BBC TWO BOOK CLUB BETWEEN THE COVERS AND THE RADIO 2 JO WHILEY BOOK CLUBAn impossible murder A remarkable detective duo A demon who may or may not exist It's 1634 and Samuel Pipps, the world's greatest detective, is being transported from the Dutch East Indies to Amsterdam, where he is facing trial and execution for a crime he may, or may not, have committed. Travelling with him is his loyal bodyguard, Arent Hayes, who is determined to prove his friend innocent, while also on board are Sara Wessel, a noble woman with a secret, and her husband, the governor general of Batavia. But no sooner is their ship out to sea than devilry begins to blight the voyage. A strange symbol appears on the sail. A dead leper stalks the decks. Livestock are slaughtered in the night. And then the passengers hear a terrible voice whispering to them in the darkness, promising them three unholy miracles. First: an impossible pursuit. Second: an impossible theft. Third: an impossible murder. Could a demon be responsible for their misfortunes? With Pipps imprisoned, only Arent and Sara can solve a mystery that stretches back into their past and now threatens to sink the ship, killing everybody on board... 'A glorious mash-up of William Golding and Arthur Conan Doyle' Val McDermid'A superb historical mystery: inventive, twisty, addictive and utterly beguiling ... A TRIUMPH' Will Dean From the author of the dazzling The Seven Deaths of Evelyn Hardcastle, winner of the Costa Best First Novel Award, comes an audacious and original new high concept murder mystery. **STU TURTON'S NEXT NOVEL, THE LAST MURDER AT THE END OF THE WORLD IS AVAILABLE TO PREORDER NOW**",N/A,N/A
The Secret Daily Teachings,['Rhonda Byrne'],2013-08-27,"['Body, Mind & Spirit']","Take the next step with The Secret Daily Teachings - the much-loved companion guide for living The Secret day by day is now available in a new hardcover format. The Secret contains clear principles on how to live your life in accordance with the natural laws of the Universe, but the important thing for every person is to LIVE IT. Now, with The Secret Daily Teachings, Rhonda Byrne takes you through a year of teachings, sharing wisdom and insights for living in harmony with the laws that govern all human beings, so that you may become the master of your life. Building upon The Secret's powerful truths, your knowledge of the law of attraction is about to expand far beyond what you can imagine. More joy, more abundance, more magnificence - every single day of the year.",N/A,N/A
The Exhibitionist,['Charlotte Mendelson'],2022,['Fiction'],"The Times 2022 Book of the YearLonglisted for the 2022 Women's Prize for FictionNominated for the 2022/23 Comedy Women in Print PrizeThe Exhibitionist is the luminous fifth novel from Man Booker-longlisted and twice-longlisted Women's Prize author Charlotte Mendelson.The longer the marriage, the harder truth becomes.Meet the Hanrahan family, gathering for a momentous weekend as famous artist and notorious egoist Ray Hanrahan prepares for a new exhibition of his art - the first in many decades - and one he is sure will burnish his reputation for good.His three children will be there: beautiful Leah, always her father's biggest champion; sensitive Patrick, who has finally decided to strike out on his own; and insecure Jess, the youngest, who has her own momentous decision to make.And what of Lucia, Ray's steadfast and selfless wife? She is an artist, too, but has always had to put her roles as wife and mother first. What will happen if she decides to change? For Lucia is hiding secrets of her own, and as the weekend unfolds and the exhibition approaches, she must finally make a choice.An extraordinary new novel from acclaimed author Charlotte Mendelson, The Exhibitionist is a dazzling exploration of art, sacrifice, toxic family politics, queer desire, and personal freedom.",N/A,N/A
The Hidden Kingdom,['Tui Sutherland'],2020-01-22,['Juvenile Fiction'],"The five dragonets of the prophecy are hoping to hide in safety in the RainWing kingdom, and Glory is hoping to learn more about her own identity, but when tribe members start disappearing and the old queen does nothing, it is up to Glory and her friends to uncover the lurking evil.",N/A,N/A
A Certain Scientific Railgun Vol. 18,['Kazuma Kamachi'],2024-01-09,['Comics & Graphic Novels'],"The New York Times bestselling series with a beloved anime! Welcome to a world where mysticism and science collide, and supernatural powers are derived from either science or religion. At the heart of this world is Academy City, an advanced metropolis whose population is comprised mostly of students. The majority of students are enrolled in the city's ""Power Curriculum Program,"" where they must learn to master their latent psychic powers. Out of several million students, only seven are deemed powerful enough to have Level 5 status. Meet Mikoto Misaka, the third most powerful Level 5 esper in Academy City. Together with her best friend Kuroko Shirai and the other members of Judgment, a student-run law enforcement agency, Mikoto delves deep into the dark heart of the scientific sprawl she calls home, and uncovers secrets she wishes she hadn't!",N/A,N/A
Five Survive,['Holly Jackson'],2023-09-20,['Juvenile Fiction'],"Holly Jackson es la reina del thriller juvenil y regresa a nuestras bibliotecas con esta historia trepidante narrada a tiempo real. Seis amigos, un viaje y un único objetivo: sobrevivir En las vacaciones de primavera, seis amigos deciden hacer un viaje por carretera. Ellos, una casa rodante y kilómetros por delante. Este va a ser el viaje de sus vidas. Pero cuando su vehículo sufre una avería en medio de la nada, en una zona sin señal y alejada de cualquier lugar habitado, descubrirán que no fue algo fortuito. Alguien los acecha. Alguien que exige saber un secreto que uno de ellos esconde. Y por el que está dispuesto a matar. Un viaje por carretera se vuelve mortal en este adictivo thriller juvenil, de la mano de la exitosa autora del fenómeno mundial Asesinato para principiantes.",N/A,N/A
One of Us Knows,['Alyssa Cole'],2024-04-16,[],"From the critically acclaimed and New York Times bestselling author of When No One Is Watching comes a riveting thriller about the new caretaker of a historic estate who finds herself trapped on an island with a murderer--and the ghosts of her past. Years after a breakdown and a diagnosis of dissociative identity disorder derailed her historical preservationist career, Kenetria Nash and her alters have been given a second chance they can't refuse: a position as resident caretaker of a historic home. Having been dormant for years, Ken has no idea what led them to this isolated Hudson River island, but she's determined not to ruin their opportunity. Then a surprise visit from the home's conservation trust just as a Nor'easter bears down on the island disrupts her newfound life, leaving Ken trapped with a group of possibly dangerous strangers--including the man who brought her life tumbling down years earlier. When he turns up dead, Ken is the prime suspect. Caught in a web of secrets and in a race against time, Ken and her alters must band together to prove their innocence and discover the truth of Kavanaugh Island--and their own past--or they risk losing not only their future, but their life.",N/A,N/A
The Celebrants,['Steven Rowley'],2024-05-15,['Fiction'],"New York Times Bestseller A TODAY Show #ReadWithJenna Book Club Pick A Big Chill for our times, celebrating decades-long friendships and promises--especially to ourselves--by the bestselling and beloved author of The Guncle. It's been a minute--or five years--since Jordan Vargas last saw his college friends, and twenty-eight years since their graduation from Berkeley when their adult lives officially began. Now Jordan, Jordy, Naomi, Craig, and Marielle find themselves at the brink of a new decade, with all the responsibilities of adulthood, yet no closer to having their lives figured out. Though not for a lack of trying. Over the years they've reunited in Big Sur to honor a decades-old pact to throw each other living ""funerals,"" celebrations to remind themselves that life is worth living--that their lives mean something, to one another if not to themselves. But this reunion is different. They're not gathered as they were to bolster Marielle as her marriage crumbled, to lift Naomi after her parents died, or to intervene when Craig pleaded guilty to art fraud. This time, Jordan is sitting on a secret that will upend their pact. A deeply honest tribute to the growing pains of selfhood and the people who keep us going, coupled with Steven Rowley's signature humor and heart, The Celebrants is a moving tale about the false invincibility of youth and the beautiful ways in which friendship helps us celebrate our lives, even amid the deepest challenges of living.",N/A,N/A
