title,authors,publishedDate,categories,description,averageRating,textSnippet
Casino Royale,['Ian Fleming'],2006,['British'],"Introducing James Bond, this title finds Bond on a mission to neutralize a lethal, high-rolling Russian operative called simply The Cypher by ruining him at the Baccarat table and forcing his Soviet spymasters to retire him. Bond's attraction to a beautiful female agent leads him to disaster and an unexpected saviour.",4,N/A
Spy School Project X,['Stuart Gibbs'],2023-08-29,['Juvenile Fiction'],"""Superspy middle schooler Ben Ripley races against time and across state lines - traveling by car, train, boat and plane - to track Murray Hill down before Ben's cyber enemies can find him""--",N/A,N/A
The Spy who Loved Me,['Ian Fleming'],2002,['Adirondack Mountains (N.Y.)'],"Vivienne Michel is in trouble. Trying to escape her tangled past, she has run away to the American backwoods, winding up at the Dreamy Pines Motor Court. A far cry from the privileged world she was born to, the motel is also the destination of two hardened killers - the perverse Sol Horror and the deadly Sluggsy Morant. When a coolly charismatic Englishman turns up, Viv, in terrible danger, is not just hopeful, but fascinated. Because he is James Bond, 007; the man she hopes will save her, the spy she hopes will love her . . .",N/A,N/A
Sail Fl Spy Manual,['Rigby'],1999-12-17,['Education'],SAIL FL SPY MANUAL IS,N/A,N/A
"Dečko, dama, kralj, špijun","['John Le Carré', 'Janko Paravić']",2011,['Intelligence service'],N/A,N/A,N/A
Blowback,"['Valerie Plame', 'Valerie Plame Wilson', 'Sarah Lovett']",2013,['CIA'],"CIA ops officer Vanessa Pierson is close to capturing Bhoot, an international nuclear arms dealer. Her informant has information about Bhoot's upcoming visit to a secret underground nuclear weapons facility in Iran. But just as she is about to get the location, the informant is killed. Desperate to stop Bhoot, she enlists all of the Agency's resources in a manhunt.",N/A,N/A
Mickey Maloney's Mail,['Rigby'],2000,['Language Arts & Disciplines'],N/A,N/A,N/A
Novel Threat,['Traci Hunter Abramson'],2025,['Fiction'],"""Brandon Hale, a CIA officer ready to resign and start a publishing career, is pulled back into undercover action after a source's murder links a New York publishing house to terrorism. Kimber Seidel, an aspiring novelist and CIA finance officer, meets Brandon, unaware of his true role. Their growing connection is tested as they face increasing danger and unraveling secrets""--",N/A,N/A
Casuslar,['Kamil Turhan'],2014,['International relations'],N/A,N/A,N/A
තම්බි මුදියන්සේ,['ධර්ම ශ්\u200dරී කාරියවසම්'],2019,['Sri Lanka'],"On Ăhălepola, 1773-1829, a noble man who assisted the British to capture the Kandyan Kingdom and to establish British rule in Sri Lanka.",N/A,N/A
